"Part";"Value";"Device";"Package";"Description";"CATEGORY";"COLOR";"URL";"PART-NUMBER";"PINS";"PITCH";"PROD_ID";"TYPE";"VALUE";"WORKING-VOLTAGE-UL";
"C1";"4.7uf";"CPOL-USCT3528";"CT3528";"POLARIZED CAPACITOR, American symbol";"Capacitor";;;"T591B475M035ATE200";;;;;;;
"C3";"100nf";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"Capacitor";;;"C0805C104J4RACTU";;;;;;;
"C4";"1uf";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"Capacitor";;;"C0805C105J4RECTU";;;;;;;
"D1";"Green";"CHIP-ROUND-R_0805";"LEDC2012X105N_RND-R";"LED - Generic";"LED";"RED";;"SM0805UGC";;;;"ROUND_TOP";"LED_RED";;
"D2";"Red";"CHIP-ROUND-R_0805";"LEDC2012X105N_RND-R";"LED - Generic";"LED";"RED";;"SM0805URC";;;;"ROUND_TOP";"LED_RED";;
"IC1";;"MEGAARDUINO_1";"MEGA_ARDUINO";"The Arduino Mega is a microcontroller board based on the ATmega2560";;;"https://www.amazon.com/ELEGOO-ATmega2560-ATMEGA16U2-Projects-Compliant/dp/B01H4ZLZLQ/ref=sr_1_1_sspa?dchild=1&keywords=arduino+mega&qid=1625516878&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzRVlMRk1YMUlSWE8yJmVuY3J5cHRlZElkPUEwMDk1NDg1MUJTMVdVTEhMWkRSNyZlbmNyeXB0ZWRBZElkPUEwNDA1MjE3Mk5WUUhXTUtGMDVJOCZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=";;;;;;;;
"J2";;"GROVE-CONNECTOR-DIP-90D(4P-2.0)";"HW4-2.0-90D";;;;"https://www.seeedstudio.com/Grove-Universal-4-pin-connector-90-10-PCs.html";"110990037";;;;;"4P-2.0-90D";;
"J3";;"691210910004";"691210910004";"WR-TBL Serie 2109 - 2.54 mm Horiz. Entry";;;"https://www.we-online.com/catalog/datasheet/691210910004.pdf";"282834-4";" 4 ";"2.54mm";;"Horizontal";;"150V (AC)";
"M1";;"ARDUINO-PRO-MINI-3.3V";"ARDUINO-PRO-MINI";"The Arduino Mega is a microcontroller board based on the ATmega328P";;;"https://www.amazon.com/HiLetgo-Atmega328P-Replace-ATmega128-Atmega328/dp/B07X2JGS69/ref=sr_1_3?dchild=1&keywords=arduino+pro+mini&qid=1625516794&sr=8-3";;;;;;;;
"Q3";;"MOSFET-NCHANNEL2N7002PW";"SOT323";"Common NMOSFET Parts";;;;"2N7002PW,115";;;"TRANS-11151";;;;
"R5";"100k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";;;;;;;;;;
"R8";"10k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";;;;;;;;;;
"R9";"1k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";;;;;;;;;;
"R10";"270k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";;;;;;;;;;
"R11";"1k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";;;;;;;;;;
"R12";"100k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";;;;;;;;;;
"R13";"2k2";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";;;;;;;;;;
"R14";"3k9";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";;;;;;;;;;
"R15";"8k2";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";;;;;;;;;;
"R16";"1k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";;;;;;;;;;
"R17";"270";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";;;;;;;;;;
"GPS";;"GPS-RECEIVER-NEO6M";"GPS-RECEIVER-NEO6M";"GPS Receiver Module based on NEO-6 device";;;"https://www.amazon.com/SUBALIGU-GY-NEO6MV2-Controller-Ceramic-Antenna/dp/B08HLX899Q/ref=sr_1_1_sspa?dchild=1&keywords=neo-6m&qid=1625521369&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExNVZHWUNBVlVGS0NVJmVuY3J5cHRlZElkPUEwNzE2NjA1MllVMVJGTkQxTUFOWCZlbmNyeXB0ZWRBZElkPUEwMjcyNTE0MzUyNEFTVFAzNFVFMSZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=";;;;;;;;
"OLED";;"DISPLAY-OLED-128X64-I2C";"DISPLAY-OLED-128X64-I2C";"128x64 Dot Matrix OLED Module based on SSD1306 chip";;;"https://www.amazon.com/SSD1306-Self-Luminous-Display-Compatible-Raspberry/dp/B08LYL7QFQ/ref=sr_1_4?dchild=1&keywords=128x64+oled&qid=1625521591&sr=8-4";;;;;;;;
"SD";;"MICROSD";"MICROSD";"Micro-SD / Transflash card holder with SPI pinout";;;"https://www.adafruit.com/product/1660";"2908-05WB-MG";;;;;;;
"U2";;"TXB0104PWR";"TSSOP14";"4-Bit Bi-Directional Level Shifter";;;;"TXB0104PWR";;;;;;;
"VR1";"100k";"TRIMPOT-SMD-3MM-CLOSED-1/8W-20%";"TRIMPOT-SMD-3MM-CLOSED";"Trimming Potentiometer (Trimpot)";;;;"3313J-2-104E";;;"RES-09285";;"10k";;