"Part";"Value";"Device";"Package";"Description";"CATEGORY";"COLOR";"DATASHEET-URL";"DESCRIPTION";"IR-UL";"MANUFACTURER";"MOUNT";"MPN";"OPERATING_TEMP";"PART-NUMBER";"PART_STATUS";"PINS";"PITCH";"PROD_ID";"RATING";"ROHS_COMPLIANT";"SERIES";"SUB-CATEGORY";"THERMALLOSS";"TOLERANCE";"TYPE";"VALUE";"VOLTAGE_RATING";"WIRE";"WORKING-VOLTAGE-UL";
"C1";"4.7uf";"CPOL-USCT3528";"CT3528";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"100nf";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"1uf";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"LED_GREEN";"CHIP-ROUND-R_0805";"LEDC2012X105N_RND-R";"LED - Generic";"LED";"RED";"";"CHIP LED ROUND";"";"";"";"";"";"";"";"";"";"";"";"";"";"CHIP";"";"";"ROUND_TOP";"LED_RED";"";"";"";
"D2";"LED_RED";"CHIP-ROUND-R_0805";"LEDC2012X105N_RND-R";"LED - Generic";"LED";"RED";"";"CHIP LED ROUND";"";"";"";"";"";"";"";"";"";"";"";"";"";"CHIP";"";"";"ROUND_TOP";"LED_RED";"";"";"";
"IC1";"";"MEGAARDUINO_1";"MEGA_ARDUINO";"The Arduino Mega is a microcontroller board based on the ATmega1280.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J2";"KEYBOARD GROVE";"GROVE-CONNECTOR-DIP-90D(4P-2.0)";"HW4-2.0-90D";"320110034";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4P-2.0-90D";"";"";"";
"J3";"";"691210910004";"691210910004";"WR-TBL Serie 2109 - 2.54 mm Horiz. Entry";"";"";"https://www.we-online.com/catalog/datasheet/691210910004.pdf";"";"6A";"";"THT";"";"";" 691210910004 ";"";" 4 ";"2.54mm";"";"";"";"";"";"";"";"Horizontal";"";"";"30 to 18 (AWG) 0.0509 to 0.823 (mmÂ²)";"150V (AC)";
"M1";"ARDUINO-PRO-MINI-3.3V";"ARDUINO-PRO-MINI-3.3V";"ARDUINO-PRO-MINI";"Arduino Pro Mini and compatible devices";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q3";"MOSFET-NCHANNEL2N7002PW";"MOSFET-NCHANNEL2N7002PW";"SOT323";"Common NMOSFET Parts";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-11151";"";"";"";"";"";"";"";"";"";"";"";
"R5";"100k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";
"R8";"10k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";
"R9";"1k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";
"R10";"270k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";
"R11";"1k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";
"R12";"100k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";
"R13";"2k2";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";
"R14";"3k9";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";
"R15";"8k2";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";
"R16";"1k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";
"R17";"270";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";
"U$1";"GPS-RECEIVER-NEO6M";"GPS-RECEIVER-NEO6M";"GPS-RECEIVER-NEO6M";"GPS Receiver Module based on NEO-6 device";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"DISPLAY-OLED-128X64-I2C";"DISPLAY-OLED-128X64-I2C";"DISPLAY-OLED-128X64-I2C";"128x64 Dot Matrix OLED Module based on SSD1306 chip";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"MICROSD";"MICROSD";"MICROSD";"Micro-SD / Transflash card holder with SPI pinout";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"";"TXB0104PWR";"TSSOP14";"4-Bit Bi-Directional Level Shifter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"VR1";"100k";"TRIMPOT-SMD-3MM-CLOSED-1/8W-20%";"TRIMPOT-SMD-3MM-CLOSED";"Trimming Potentiometer (Trimpot)";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09285";"";"";"";"";"";"";"";"10k";"";"";"";
